115 logs before log style change
User: test Logged in at: 2020-02-15T22:58:20.730
User: test Logged in at: 2020-02-15T22:58:49.667
User: test Logged in at: 2020-02-15T23:01:37.337
User: test Logged in at: 2020-02-15T23:02:36.186
User: test Logged in at: 2020-02-15T23:55:53.024
User: test Logged in at: 2020-02-16T00:04:32.404
User: test Logged in at: 2020-02-16T00:05:11.599
User: test Logged in at: 2020-02-16T00:12:23.704
User: test Logged in at: 2020-02-16T15:10:55.999
User: test Logged in at: 2020-02-16T15:13:18.986
User: test Logged in at: 2020-02-16T15:22:10.398
User: test Logged in at: 2020-02-16T15:23:40.155
User: test Logged in at: 2020-02-16T15:24:18.118
User: test Logged in at: 2020-02-16T15:25:36.069
User: test Logged in at: 2020-02-16T15:26:59.111
User: test Logged in at: 2020-02-16T15:29:04.574
User: test Logged in at: 2020-02-16T15:30:26.011
User: test Logged in at: 2020-02-16T15:32:27.264
User: test Logged in at: 2020-02-16T15:36:14.578
User: test Logged in at: 2020-02-16T15:41:00.850
User: test Logged in at: 2020-02-16T15:48:38.390
User: test Logged in at: 2020-02-16T15:51:07.570
User: test Logged in at: 2020-02-16T15:55:54.900
User: test Logged in at: 2020-02-16T15:58:06.944
User: test Logged in at: 2020-02-16T16:12:40.075
User: test Logged in at: 2020-02-16T16:14:31.931
User: test Logged in at: 2020-02-16T16:16:50.126
User: test Logged in at: 2020-02-16T16:19:02.579
User: test Logged in at: 2020-02-16T16:54:08.561
User: test Logged in at: 2020-02-16T17:02:24.135
User: test Logged in at: 2020-02-16T17:13:31.076
User: test Logged in at: 2020-02-16T17:48:11.800
User: test Logged in at: 2020-02-16T17:49:06.253
User: test Logged in at: 2020-02-16T17:54:25.756
User: test Logged in at: 2020-02-16T17:56:48.502
User: test Logged in at: 2020-02-16T17:58:43.200
User: test Logged in at: 2020-02-16T18:03:07.294
User: test Logged in at: 2020-02-16T18:12:11.259
User: test Logged in at: 2020-02-16T18:16:39.690
User: test Logged in at: 2020-02-16T18:20:02.931
User: test Logged in at: 2020-02-16T18:59:05.477
User: test Logged in at: 2020-02-16T19:12:47.241
User: test Logged in at: 2020-02-16T19:13:56.643
User: test Logged in at: 2020-02-16T19:21:07.206
User: test Logged in at: 2020-02-16T19:32:00.325
User: test Logged in at: 2020-02-16T19:33:27.167
User: test Logged in at: 2020-02-16T19:36:50.435
User: test Logged in at: 2020-02-16T19:38:12.355
User: test Logged in at: 2020-02-16T19:43:48.674
User: test Logged in at: 2020-02-16T19:46:07.504
User: test Logged in at: 2020-02-16T19:48:11.324
User: test Logged in at: 2020-02-16T19:50:38.643
User: test Logged in at: 2020-02-16T19:52:15.708
User: test Logged in at: 2020-02-16T20:43:43.071
User: test Logged in at: 2020-02-16T21:57:58.546
User: test Logged in at: 2020-02-16T22:17:32.502
User: test Logged in at: 2020-02-16T22:19:02.928
User: test Logged in at: 2020-02-16T22:33:03.981
User: test Logged in at: 2020-02-16T23:00:04.203
User: test Logged in at: 2020-02-16T23:07:17.042
User: test Logged in at: 2020-02-16T23:10:18.027
User: test Logged in at: 2020-02-16T23:13:57.255
User: test Logged in at: 2020-02-16T23:26:30.987
User: test Logged in at: 2020-02-16T23:34:58.683
User: test Logged in at: 2020-02-16T23:45:34.018
User: test Logged in at: 2020-02-16T23:52:14.825
User: test Logged in at: 2020-02-16T23:53:54.441
User: test Logged in at: 2020-02-16T23:55:42.917
User: test Logged in at: 2020-02-16T23:56:39.550
User: test Logged in at: 2020-02-17T00:31:22.366
User: test Logged in at: 2020-02-17T02:12:52.156
User: test Logged in at: 2020-02-17T02:18:25.447
User: test Logged in at: 2020-02-19T00:45:49.165
User: test Logged in at: 2020-02-20T06:28:29.631
